PLAYER_NAME,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
LeBron James,0.499483917456134,0.37411077026911,0.5080539100683845,0.4553432069634903,0.5171440125507947,0.5642673611387051,0.508855326931129,0.6768922526580271,1.0,0.4686073141687485
Chris Paul,0.5000053257871975,0.6027012725110161,0.5079230045954177,0.5536557035496588,0.4976717577397348,0.5109187430061383,0.508750753868066,0.5672420923748939,0.6470485533471177,0.5041730767882149
Kyle Lowry,0.5074415966405733,0.5064983968195003,0.5102227227940415,0.5066051740944196,0.53317337710497,0.4774950045002836,0.508833522168772,0.541545452264707,0.5844837139326535,0.4961394432721392
P.J. Tucker,0.5175982434747587,0.4858151498383763,0.5093779945965765,0.5198552203716782,0.5200774167948125,0.5482021132610039,0.508712519049547,0.5768724107804378,0.5470431321216338,0.49705134786222993
Kevin Durant,0.5028132396683795,0.5144875765247081,0.5076811852247605,0.4683952483342155,0.4984232141417727,0.5240931422852648,0.508690887055789,0.5736074725869533,0.784688030808839,0.48265815971220144
Al Horford,0.503132591376954,0.4770880333717965,0.5090668915919716,0.518395559784557,0.5105797721733463,0.5210664758480534,0.5088569946914091,0.5191144520027968,0.6972085269150863,0.5440495654104285
Mike Conley,0.49798095299923906,0.4154603014972873,0.5092670500931992,0.5348283171998556,0.5088234330879394,0.5384762149365612,0.50874901549822,0.5336914473661537,0.7756808122595151,0.5039078388344449
Jeff Green,0.5038887893872713,0.4467053767774289,0.5098188590136459,0.487850583379858,0.52343566759727,0.5192056337354044,0.5087991073293997,0.4096194703731352,0.5809377675058242,0.489244619101997
Russell Westbrook,0.4978754088204241,0.31874829416635153,0.5103247503816084,0.4815975723569939,0.5264832217237679,0.5381813070461636,0.50849781151481,0.5997111608731986,0.7136199324953337,0.48866435003112035
Kevin Love,0.5012108207274126,0.4921662800344298,0.5100370949009146,0.5006361644856835,0.5207108383766774,0.501813138317467,0.5088480975128111,0.5520066018597781,0.680028363554072,0.4851714614838506
Eric Gordon,0.49710890628737464,0.5375819634630887,0.5106847718666337,0.5296302600444087,0.5505525177101382,0.4960209032986269,0.508223740554765,0.5800303312118383,0.7036350355744461,0.4904699762984257
Brook Lopez,0.5023590896539712,0.4561623767671304,0.508671617553672,0.4962023365464983,0.47629342924754936,0.459097184964881,0.5091297054206755,0.4800813152466015,0.6556207994877211,0.49015171668760676
Nicolas Batum,0.5133805963014851,0.5077672010731612,0.5092935048208995,0.46557884795255533,0.5048448382197087,0.4217718231203763,0.5100467484255068,0.5918928327759971,0.6467679784420771,0.5700733670664253
DeAndre Jordan,0.516775908787829,0.43015840672040095,0.5099717359649909,0.4850594668623548,0.5308561715579524,0.5256474480233171,0.508603195311298,0.5375000264833847,0.6194441146277763,0.47708960423592467
James Harden,0.500930841677249,0.5751284737731834,0.508978256118478,0.46541305684009604,0.4986564984595837,0.4535431611346991,0.5093178067814293,0.46492900726638875,0.6663904343743702,0.4970062237024906
Stephen Curry,0.5026047556216786,0.38651886952224535,0.5099678008822541,0.5089740884580404,0.47061194974481974,0.3645200988622226,0.5103763988063469,0.6190499834067343,0.9953696449610769,0.4976960580545263
DeMar DeRozan,0.5046681259043811,0.5276726101612791,0.5094205861853823,0.5351868318217126,0.4667567324099053,0.46758578416368907,0.5091052312083005,0.5457497308249307,0.6283372604471917,0.5012688989746206
