Player,Followers
Ochai Agbaji,129200
Mark Williams,128400
Aaron Wiggins,127900
Isaiah Stewart II,127200
Delon Wright,126300
Kevin Huerter,126100
Zaccharie Risacher,125600
Cam Whitmore,122500
Nick Richards,121500
Adem Bona,118900
Georges Niang,116900
Devin Vassell,115500
Isaiah Joe,113800
Dario Saric,112300
Dwight Powell,111800
"Terrence Shannon, Jr.",111500
Jake LaRavia,110000
Walker Kessler,109900
Cason Wallace,109200
Thomas Bryant,107000
G.G. Jackson,106500
Isaiah Jackson,106000
Josh Okogie,105300
Jalen Hood-Schifino,104100
Ty Jerome,101100
Kel'el Ware,100900
Brandon Clarke,100200
De'Andre Hunter,100200
De'Anthony Melton,99700
Jalen Wilson,99000
Isaiah Collier,98800
Keegan Murray,98000
Jevon Carter,97500
Darius Bazley,95800
Jarace Walker,95500
Sandro Mamukelashvili,95100
Peyton Watson,93700
Zach Collins,93200
Donovan Clingan,92000
Johnny Furphy,91700
"Nick Smith, Jr.",91400
Oscar Tshiebwe,90400
Brook Lopez,90100
Jericho Sims,89900
"Andre Jackson, Jr.",89600
Johnny Juzang,88700
Tari Eason,87000
Javonte Green,86300
"Xavier Tillman, Sr.",85400
P.J. Dozier,84600
Shake Milton,84300
Ron Holland,83300
Jared Butler,81900
Sam Hauser,81200
Quincy Olivari,81000
Chris Livingston,80300
Dariq Whitehead,80200
Leaky Black,80000
Herb Jones,79400
Richaun Holmes,77900
Quinten Post,77300
Jakob Poeltl,77300
Jordan Hawkins,76900
Jason Preston,76800
Vasilije Micic,76600
Day'Ron Sharpe,76200
Tyler Kolek,74000
"Wendell Moore, Jr.",73800
Aaron Holiday,73400
Trendon Watford,73000
Santi Aldama,73000
Onuralp Bitim,71900
Corey Kispert,71800
Tristan Vukcevic,71000
"Paul Reed, Jr.",70400
Trey Jemison,70200
Tristan Da Silva,69100
Kyle Filipowski,68900
Alex Fudge,66900
Dalano Banton,66000
Lindy Waters III,64700
Malaki Branham,64700
Johnny Davis,64600
Jett Howard,62500
Jacob Toppin,61800
Julian Strawther,61400
Collin Gillespie,61200
Saddiq Bey,61200
Baylor Scheierman,60900
Ousmane Dieng,60900
Jock Landale,60400
Justin Edwards,60200
Jaylen Wells,60100
Cody Martin,59600
David Duke,59100
Garrett Temple,58700
Cody Williams,58600
Nikola Topic,58100
Eugene Omoruyi,57900
Jalen Smith,57500
Taylor Hendricks,57300
David Roddy,57300
Maxwell Lewis,56300
Toumani Camara,55200
Christian Koloko,54900
Pelle Larsson,54800
Brice Sensabaugh,54700
Daishen Nix,54500
Mamadi Diakite,53100
Ja'Kobe Walter,52200
Jalen McDaniels,52000
Jaylen Nowell,51900
E.J. Liddell,51100
Goga Bitadze,49800
"Patrick Baldwin, Jr.",49500
Jordan McLaughlin,49500
Vit Krejci,49000
Cole Swider,48400
Ricky Council IV,48000
Yves Missi,46700
Harrison Ingram,46300
Dean Wade,45700
Cui Yongxi,45300
Kris Murray,44900
Antonio Reeves,44700
Naji Marshall,44100
Ryan Dunn,43700
Cody Zeller,43700
Trentyn Flowers,43300
Bub Carrington,43300
Jaylen Martin,42600
Tyler Smith,42500
Kobe Bufkin,40900
Keita Bates-Diop,40100
Marcus Sasser,40100
Leonard Miller,39200
Bryce McGowens,39100
Zeke Nnaji,38700
Duop Reath,38000
Ryan Rollins,37900
Keon Ellis,37900
Kyshawn George,37800
Jack McVeigh,37100
"Kevin McCullar, Jr.",36800
Jeremiah Robinson-Earl,36800
Olivier-Maxence Prosper,36400
Colby Jones,36100
Haywood Highsmith,35800
A.J. Lawson,35300
Drew Eubanks,34700
Ajay Mitchell,34500
Vlatko Cancar,34400
Josh Minott,33400
Tidjane Salaun,33100
Sam Merrill,32700
Jabari Walker,32600
Julian Champagnie,32600
Moussa Diabate,32000
DaRon Holmes II,31600
Sidy Cissoko,31500
D.J. Carton,31500
Jordan Miller,31300
Kobe Brown,30700
P.J. Hall,30600
Amir Coffey,30600
Bobi Klintman,30000
Alondes Williams,29400
Jaylon Tyson,29400
Tristen Newton,29200
Mason Jones,28800
Justin Minaya,28000
Rayan Rupert,27200
Colin Castleton,26900
Jamal Cain,25500
Luke Travers,24900
Ben Sheppard,24900
Cameron Christie,24700
Ariel Hukporti,24500
Jose Alvarado,24500
Julian Phillips,23800
Taze Moore,23600
Justin Champagnie,23400
Kendall Brown,23300
K.J. Simpson,23000
Keshad Johnson,22900
Marcus Domask,22900
Mouhamed Gueye,22600
Pacome Dadiet,22400
Noah Clowney,22300
Dillon Jones,22000
Dominick Barlow,21700
Oso Ighodaro,21500
Trey Alexander,21500
Kessler Edwards,20500
Reece Beekman,20200
Jermaine Samuels,19800
Tyrese Martin,19700
Anton Watson,19600
Jeff Dowtin,19400
Hunter Tyson,19400
"Vincent Williams, Jr.",19300
Quenton Jackson,19200
Trevelin Queen,19200
Adama Sanogo,19200
"Craig Porter, Jr.",18600
Jalen Bridges,18300
Armel Traore,17500
Jonathan Mogbo,17000
Malcolm Hill,16700
Drew Peterson,16500
Garrison Mathews,15800
Blake Hinson,15200
Jalen Pickett,14900
Boo Buie,14900
Jared Rhoden,14600
Orlando Robinson,14100
Micah Potter,14000
Adam Flagler,14000
Jesse Edwards,13600
Stanley Umude,13500
N'Faly Dante,13500
Ulrich Chomche,13400
Enrique Freeman,13300
Alex Ducas,12800
Jamaree Bouyea,12800
Branden Carlson,12600
Isaiah Stevens,12100
Jamison Battle,12000
Dru Smith,11400
Javon Freeman-Liberty,11300
Patrick Williams,10300
Keaton Wallace,10000
Tosan Evbuomwan,9600
Isaac Jones,9400
Tristan Enaruna,9100
Daniss Jenkins,8600
Raiquan Gray,8000
Andrew Funk,7300
Devin Carter,117000
Zyon Pullin,6300
Jaylin Galloway,5700
Liam Robbins,4900
Spencer Jones,4500
Dalen Terry,142000
Mason Plumlee,1100
Davion Mitchell,216000
Jamal Shead,38700
Jared McCain,1900000
Darius Garland,567000
