Player_Name,Salary
Moody  Moses Moody,"$5,803,269"
Podziemski  Brandin Podziemski,"$3,519,960"
Jackson-Davis  Trayce Jackson-Davis,"$1,891,857"
Santos  Gui Santos,"$1,891,857"
Post  Quinten Post,"$438,920"
Spencer  Pat Spencer,"$438,810"
Knox  Kevin Knox,"$263,939"
Key  Braxton Key,"$11,997"
VanVleet  Fred VanVleet,"$42,846,615"
Brooks  Dillon Brooks,"$23,255,493"
Adams  Steven Adams,"$12,600,000"
Green  Jalen Green,"$12,483,048"
Sheppard  Reed Sheppard,"$10,098,960"
Smith Jr.  Jabari Smith Jr.,"$9,770,880"
Thompson  Amen Thompson,"$9,249,960"
Green  Jeff Green,"$8,000,000"
Landale  Jock Landale,"$8,000,000"
Tate  Jae’Sean Tate,"$7,565,217"
Sengun  Alperen Sengun,"$5,424,654"
Holiday  Aaron Holiday,"$4,668,000"
Eason  Tari Eason,"$3,695,160"
Whitmore  Cam Whitmore,"$3,379,080"
Williams  Jeenathan Williams,"$515,881"
Haliburton  Tyrese Haliburton,"$42,176,400"
Siakam  Pascal Siakam,"$42,176,400"
Turner  Myles Turner,"$19,928,500"
Toppin  Obi Toppin,"$12,975,000"
Nesmith  Aaron Nesmith,"$11,000,000"
McConnell  T.J. McConnell,"$9,500,000"
Mathurin  Bennedict Mathurin,"$7,245,720"
Walker  Jarace Walker,"$6,362,520"
Jackson  Isaiah Jackson,"$4,435,381"
Sheppard  Ben Sheppard,"$2,663,880"
Johnson  James Johnson,"$2,087,519"
Bryant  Thomas Bryant,"$2,087,519"
Nembhard  Andrew Nembhard,"$2,019,699"
Furphy  Johnny Furphy,"$1,850,842"
Bradley  Tony Bradley,"$330,394"
Leonard  Kawhi Leonard,"$49,205,800"
Harden  James Harden,"$33,653,846"
Powell  Norman Powell,"$19,241,379"
Bogdanovic  Bogdan Bogdanovic,"$17,260,000"
Zubac  Ivica Zubac,"$11,743,210"
Jones Jr.  Derrick Jones Jr.,"$9,523,810"
Dunn  Kris Dunn,"$5,168,000"
Eubanks  Drew Eubanks,"$5,000,000"
Batum  Nicolas Batum,"$4,668,000"
Coffey  Amir Coffey,"$3,938,271"
Brown  Kobe Brown,"$2,533,920"
Mills  Patty Mills,"$2,087,519"
Christie  Cameron Christie,"$1,157,153"
Miller  Jordan Miller,"$1,050,000"
Simmons  Ben Simmons,"$755,826"
James  LeBron James,"$48,728,845"
Doncic  Luka Doncic,"$43,031,940"
Hachimura  Rui Hachimura,"$17,000,000"
Finney-Smith  Dorian Finney-Smith,"$14,924,167"
Reaves  Austin Reaves,"$12,976,362"
Kleber  Maxi Kleber,"$11,000,000"
Vincent  Gabe Vincent,"$11,000,000"
Vanderbilt  Jarred Vanderbilt,"$10,714,286"
Knecht  Dalton Knecht,"$3,819,120"
Milton  Shake Milton,"$2,875,000"
Hayes  Jaxson Hayes,"$2,463,946"
Morris  Markieff Morris,"$2,087,519"
James  Bronny James,"$1,157,153"
Len  Alex Len,"$743,829"
Goodwin  Jordan Goodwin,"$223,718"
Morant  Ja Morant,"$36,725,670"
Bane  Desmond Bane,"$34,005,250"
Jackson Jr.  Jaren Jackson Jr.,"$25,257,798"
Bagley III  Marvin Bagley III,"$12,500,000"
