PLAYER_NAME,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
LeBron James,0.1464449667763684,0.11715143862765015,0.1414742291149325,0.14193292929569762,0.14250257484360324,0.1487257842493436,0.1501204794657893,1.0,0.2577470689366746,0.1317017679587615
Chris Paul,0.1460711874304958,0.14687623826999432,0.14447331822864934,0.14082743325571143,0.1397347676542813,0.13927591001503306,0.14209819689531536,0.14229025473888826,0.1641253564074796,0.1397125594196487
Kyle Lowry,0.142302903421394,0.14388203608368172,0.13484250968640496,0.1407596536646245,0.14303043999254603,0.14060198892811265,0.14139138897297465,0.1383993756233341,0.13947527214139438,0.13943735018304804
P.J. Tucker,0.138448005940282,0.1352384495493853,0.13556228782998495,0.14090334121810122,0.14148577207888008,0.14339232530059376,0.1419086748162801,0.14342186777342844,0.1528495202648989,0.13805676916940168
Kevin Durant,0.14556975550238446,0.1487257976522404,0.14296509385855613,0.14098722911533132,0.1379230768775094,0.14115195746018017,0.14262702132377558,0.15839827231973425,0.1961797566697563,0.13799157955844205
Al Horford,0.1471938565867136,0.13540292129736747,0.13860203391063897,0.1408032134509087,0.14075400138653593,0.1415904789804813,0.140818016735042,0.13503035898872076,0.1633082738200671,0.14856422007304101
Mike Conley,0.1554751271946325,0.12819492255078097,0.14198862605918866,0.14086294242262798,0.13974986557935495,0.1456809405318973,0.1417323925045821,0.13980355234888828,0.19149049627811085,0.1392471477230854
Jeff Green,0.15953399121615777,0.13180573397281975,0.1343932358033804,0.14061294215620318,0.14228666095619555,0.14503756150044095,0.14114462445533205,0.13967396435683294,0.16553590849648492,0.13586286417572924
Russell Westbrook,0.15018634321540922,0.11746133925516848,0.12691955296176705,0.1405323847987758,0.14191028419759943,0.14534912848376455,0.1426046963494921,0.21036729207551408,0.17524590456166805,0.1384489678326511
Kevin Love,0.1469617417682431,0.138433061784839,0.13927239115505732,0.14067554606479504,0.1406778256956199,0.14007446922800268,0.14062712654801404,0.14056713511623944,0.15250563599931757,0.13775827713993852
Eric Gordon,0.17344701967242865,0.1380055992049026,0.1259948168054126,0.14234166446892405,0.14409032868140972,0.15297610704894235,0.15079762802953334,0.14090096196009952,0.17126368554831572,0.13594037386491148
