,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
0,0.5095487383674421,0.4057735087172734,0.45891190275274957,0.4589584575389882,0.47300491594205424,0.45841922084384523,0.4570872978818343,0.2604024012072606,0.790670892315035,0.4415993644568236
1,0.6323169995657691,0.5071719781884333,0.45944306167936694,0.45844358719517597,0.438066400931713,0.4585065748745928,0.4875235843593037,0.4489754248114373,0.6622396168543927,0.4498902914909722
2,0.5596879075841616,0.43541949079127074,0.45754995609073285,0.4585686560917112,0.487478012071838,0.4576572658186392,0.48593222630300087,0.4516421604237438,0.675314284499383,0.4276440752892448
3,0.668659390760837,0.3012856267708137,0.4560136683375058,0.4586646476873149,0.4902981853608758,0.45185334461156396,0.4795966642990112,0.46462122560410385,0.9104360047145695,0.442902200540614
4,0.504611547068678,0.4982352601928612,0.4592862954848834,0.4584401710873683,0.42939836486015776,0.45979583105878563,0.45086987946196766,0.4478631532451707,0.6652357139536437,0.42786040151545646
5,0.6339233065291653,0.38721528332146593,0.4584983904935844,0.4585837031006344,0.47326017006672094,0.4573746729603958,0.4843941227423872,0.45846603545568343,0.7406186753165165,0.515607687427069
6,0.6528071594873375,0.36557945610201203,0.45861545358523204,0.4584191797695114,0.4528938323196107,0.456752921948572,0.49654565103539094,0.457201020567993,0.646326651137877,0.4477455092955652
7,0.7920059318095403,0.37602204337487205,0.4579155266983522,0.45877986130928783,0.4764438263469735,0.45847851903383047,0.4693769404493648,0.45943322745016807,0.7663433170582292,0.4512537365668103
8,0.5409351135231453,0.3875650898123627,0.4581073049474147,0.45894842587823187,0.48132351739802826,0.45855987335245874,0.4597335879864401,0.43385226746986205,0.747793276350925,0.43772660842165284
9,0.6631820213748812,0.38479431805593434,0.4570001504397668,0.45869525341637796,0.5075567728547791,0.45537506841901476,0.5291700394731942,0.4546357620238763,0.7840464272419932,0.4392584643845366
10,0.7220352640559461,0.4353558407434846,0.4580353648894095,0.45861072440312073,0.4967620372911629,0.4583168409695897,0.4677926145812012,0.4566834805716296,0.6927856077144691,0.4535135256369786
11,0.584562381699788,0.4129143006294799,0.4585915640303004,0.4585379903525755,0.4196409157860848,0.4622745607618281,0.4507943699338199,0.46044730165588577,0.748398689972499,0.4466613906373909
12,0.5824453891662965,0.461720245434046,0.4580874017984071,0.46071192045049975,0.44149449191341805,0.46295849351850465,0.2852314352501576,0.4566210384467006,0.675179407969854,0.5247810810062877
13,0.42980790472152364,0.38648671449985755,0.45842194597778085,0.4587920768145404,0.47910439002602895,0.45796525489904,0.4630213827798259,0.4578098746671773,0.7161666282245267,0.4216448816330217
14,0.5573229922955059,0.4681443095756338,0.45775722506871686,0.46100380854167344,0.4495631637506123,0.4634046905558203,0.2559298941296935,0.47307607807022367,0.6885728230141805,0.45224171381003525
15,0.47713359758989465,0.3971466705537296,0.45787216909417044,0.4586574697400251,0.4440170395492312,0.46201865061955977,0.3393201936381045,0.38760698231201374,0.7393645119878096,0.44634963783525716
16,0.48818757876988583,0.49145577499238385,0.45829027152820767,0.458564695166822,0.40469446858557245,0.46312536616075295,0.42394442700457596,0.4582871242345343,0.654609484310924,0.44191779180978313
17,0.59301889250774,0.4836008057048556,0.45733343462055204,0.45852713630899633,0.4479512366178721,0.4573492411806717,0.5138546687337414,0.4589870578846442,0.865201008746437,0.41607713154412085
18,0.5145040027982923,0.3858215958764935,0.4599354080155412,0.4585910509186587,0.46467298166546456,0.45767348686208437,0.48705897924158287,0.4574688813161368,0.6252175465748512,0.439819228395827
19,0.5048640048434827,0.5188606642096729,0.4588856362046497,0.4585986212580994,0.45900604291430536,0.4603846527499768,0.4570169676470644,0.45679127194719976,0.866668226643242,0.419521675326157
20,0.3382746314303554,0.441088822472493,0.4579376186954494,0.4607960852613584,0.4342333433425946,0.4637964264054274,0.26360976939251723,0.4588336584275146,0.7521795731673254,0.5331267906856619
21,0.2953456506501267,0.5258273242164686,0.46073619657560755,0.4586456917811522,0.4831713003008715,0.4590434035256614,0.4556010299279083,0.4556930150178018,0.7353870618799014,0.4488314002155497
22,0.5003822676475055,0.4153863788095426,0.45682860390759594,0.45861474242015077,0.5119188153705002,0.4564621639576922,0.5171454671571012,0.4482306930528888,0.6724622324900648,0.44153865007437093
23,0.5338755025326761,0.4474753581585952,0.45818300478596935,0.45909828230897715,0.4642978304903792,0.45971407200941466,0.43255863874750994,0.43652975032477,0.5962591602898821,0.5246158597900852
24,0.659277182445345,0.42654779120664305,0.45698208343168883,0.459061783767642,0.49263082767829103,0.45608012170523216,0.5222496673346537,0.4530091456046809,0.6969881125818455,0.5112415889143478
25,0.6099100101594425,0.4404786503435045,0.4582109130599671,0.4585121242126955,0.4271192966505311,0.4609416435290398,0.45699960014798785,0.4604008682757746,0.6157113568844463,0.5079778855318053
26,0.6139094820657214,0.5145172888307035,0.45922146761028704,0.4584923043261401,0.4461749857212677,0.46016009343433717,0.45969309914795653,0.4603778083830395,0.5681647907828087,0.5078980214960155
27,0.5224986476459876,0.4176030948625931,0.4577813159795879,0.4592201604898329,0.46598955719822177,0.4592557569434843,0.4349949814278176,0.43474978902411604,0.7066415009070204,0.44775462705669533
28,0.641381530860986,0.4471756958957557,0.4583442867158077,0.458590291855804,0.479725608374878,0.45821883424627025,0.4787962724838408,0.4598912302571907,0.6106263865551801,0.447486734486999
