target,type,r2_mean,r2_std,rmse_mean,rmse_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std
Age,regression,-0.0107,0.0393,4.0042,0.2694,,,,,,
Capacity,regression,-0.1437,0.1028,1115.2197,70.6955,,,,,,
DRAFT_NUMBER,regression,-0.1164,0.062,18.4162,1.4854,,,,,,
Followers,regression,0.0342,0.2241,4.2315,0.7862,,,,,,
OWNER_NET_WORTH_B,regression,-0.194,0.1298,1.2154,0.207,,,,,,
STADIUM_COST,regression,-0.3319,0.3731,462109430.625,96405772.9718,,,,,,
STADIUM_YEAR_OPENED,regression,-0.0048,0.082,11.4711,2.2213,,,,,,
Salary_Model,regression,0.4777,0.1184,1.0797,0.2027,,,,,,
active_cap,regression,0.0823,0.2254,15123853.0242,1362845.5984,,,,,,
dead_cap,regression,-0.425,0.4961,10102021.3232,2218357.4778,,,,,,
is_USA,classification,,,,,0.6786,0.0855,0.5651,0.0808,0.6925,0.1216
